Year,"Property Type","Number of Sales","Avg. Price","Min. Price","Max. Price"
2013,"Canal Front",4,453450.0,138800.0,730000.0
2013,"Lake Front",44,708456.82,71600.0,2300000.0
2014,"Canal Front",4,416000.0,100000.0,920000.0
2014,"Lake Front",41,728619.51,6000.0,2800000.0
2015,"Canal Front",7,361771.43,139900.0,667500.0
2015,"Lake Front",44,911815.91,175000.0,5200000.0
2016,"Canal Front",7,374928.57,149000.0,651000.0
2016,"Lake Front",65,774678.46,60000.0,5200000.0
2017,"Canal Front",6,724816.67,349000.0,1200000.0
2017,"Lake Front",65,997003.45,93000.0,4100000.0
2018,"Canal Front",8,604500.0,172000.0,1170000.0
2018,"Lake Front",70,1273281.43,45000.0,6750000.0
